web_scraper_order,web_scraper_start_url,nom,prix,adresse,urls_images
"1767042573-48","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon King Indigo","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5321991_uploaded_image1_1746917494.jpg"
"1767042573-49","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon","30 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5290537_uploaded_image1_1745182886.jpg"
"1767042573-50","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poule","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5280953_uploaded_image1_1744629489.jpg"
"1767042573-51","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapin geant","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5276799_uploaded_image1_1744362952.jpg"
"1767042573-52","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Barman","12 500CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_5276065_uploaded_image1_1744311662.jpg"
"1767042573-53","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5274182_uploaded_image1_1744216748.jpg"
"1767042573-54","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeons","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5274177_uploaded_image1_1744216637.jpg"
"1767042573-55","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeons voyageurs","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5274172_uploaded_image1_1744216429.jpg"
"1767042573-56","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Brahma columbia","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5272290_uploaded_image1_1744128456.jpg"
"1767042573-57","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeons de race","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5258333_uploaded_image1_1743424345.jpg"
"1767042573-58","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poulet local","3 500CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_5252650_uploaded_image1_1743037834.jpg"
"1767042573-59","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon","100 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5246700_uploaded_image1_1742737554.jpg"
"1767042573-60","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon Mondain","150 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5232372_uploaded_image1_1741970489.jpg"
"1767042573-61","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapin Métis Californien","25 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5225208_uploaded_image1_1741633076.jpg"
"1767042573-62","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Coque Hermine","50 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5202384_uploaded_image1_1740482590.jpg"
"1767042573-63","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapins métis californiens","10 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5198096_uploaded_image1_1740225080.jpg"
"1767042573-64","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapin Californien","120 000CFA","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5189123_uploaded_image1_1739781768.jpg"
"1767042573-65","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon voyageur","5 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5180652_uploaded_image1_1739276152.jpg"
"1767042573-66","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poussin herminé","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5179009_uploaded_image1_1739192841.jpg"
"1767042573-67","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon Mondain","150 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5121788_uploaded_image1_1736179154.jpg"
"1767042573-68","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapin","12 000CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_5119498_uploaded_image1_1736025924.jpg"
"1767042573-69","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapin","12 000CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_5119494_uploaded_image1_1736025705.jpg"
"1767042573-70","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poussin Herminé","36 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5107651_uploaded_image1_1735215733.jpg"
"1767042573-71","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poussins","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5104370_uploaded_image1_1734964382.jpg"
"1767042573-72","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Couple lahore lavande","30 000CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_5088564_uploaded_image1_1734010113.jpg"
"1767042573-73","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon Mondain","200 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_5085521_uploaded_image1_1733851166.jpg"
"1767042573-74","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poussin brahman","25 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5080703_uploaded_image1_1733571477.jpg"
"1767042573-75","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Mondain noir","150 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5078519_uploaded_image1_1733444790.jpg"
"1767042573-76","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","couple boulon saxe","45 000CFA","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_5069958_uploaded_image1_1733056070.jpg"
"1767042573-77","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Couple adulte métisses","35 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5064256_uploaded_image1_1732714222.jpg"
"1767042573-78","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poule Brahma","45 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5044135_uploaded_image1_1731603018.jpg"
"1767042573-79","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Couple mantau écailles de 2 mois","15 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_5043101_uploaded_image1_1731565347.jpg"
"1767042573-80","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","lapins mâle adulte","15 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5000540_uploaded_image1_1729260478.jpg"
"1767042573-81","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Rex garenne","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_4998472_uploaded_image1_1729159431.jpg"
"1767042573-82","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon pan indien","10 000CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_4996843_uploaded_image1_1729085675.jpg"
"1767042573-83","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poule Brahma","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4993341_uploaded_image1_1728920307.jpg"
"1767042573-84","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Couple lapins","15 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_4981240_uploaded_image1_1728309289.jpg"
"1767042573-85","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapins","15 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_4975768_uploaded_image1_1727986043.jpg"
"1767042573-86","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Coq","3 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_4975038_uploaded_image1_1727964716.jpg"
"1767042573-87","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapin","15 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4966470_uploaded_image1_1727557573.jpg"
"1767042573-88","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon voyageur","Prix sur demande","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_4946879_uploaded_image1_1726499763.jpg"
"1767042573-89","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon voyageur","15 000CFA","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_4946878_uploaded_image1_1726499637.jpg"
"1767042573-90","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poulets Fermiers","10 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_4942161_uploaded_image1_1726204258.jpg"
"1767042573-91","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon voyageur","25 000CFA","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_4936241_uploaded_image1_1725920934.jpg"
"1767042573-92","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poule Brahma","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4936101_uploaded_image1_1725915391.jpg"
"1767042573-93","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","couples lapins","15 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_4932369_uploaded_image1_1725702422.jpg"
"1767042573-94","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeons Voyageurs  et boulants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4920745_uploaded_image1_1725167512.jpg"
"1767042573-95","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","pigeon voyageur","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4917441_uploaded_image1_1724967120.jpg"
"1767042573-96","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon Boulant Gaditano","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4884507_uploaded_image1_1723139531.jpg"
"1767042573-97","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapin nain","30 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4865409_uploaded_image1_1722221284.jpg"
"1767042573-98","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Cochin Caillouté Et Porteur Caillouté","Prix sur demande","Pikine, Sénégal","https://images.coinafrique.com/thumb_4862961_uploaded_image1_1722048205.jpg"
"1767042573-99","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon mondain noir","170 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4862270_uploaded_image1_1722006320.jpg"
"1767042573-100","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pan indien blanc","35 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4860862_uploaded_image1_1721930737.jpg"
"1767042573-101","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeons  Texan","20 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4860848_uploaded_image1_1721930260.jpg"
"1767042573-102","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Couple pigeon mondain blanc","70 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4853197_uploaded_image1_1721514569.jpg"
"1767042573-103","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Paires engoura","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4841263_uploaded_image1_1720874099.jpg"
"1767042573-104","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Jeune Mondain 2024","150 000CFA","Thiaroye, Sénégal","https://images.coinafrique.com/thumb_4840128_uploaded_image1_1720797760.jpg"
"1767042573-105","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapereaux métisse Géant et Californien","15 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4829597_uploaded_image1_1720290196.jpg"
"1767042573-106","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poussin Herminé standard","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4824502_uploaded_image1_1720037338.jpg"
"1767042573-107","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Mâle brahman Hierminés","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4824501_uploaded_image1_1720037293.jpg"
"1767042573-108","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Cochin porteur caillouté paire","120 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4818681_uploaded_image1_1719796046.jpg"
"1767042573-109","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Hermines et cochins","500CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4817873_uploaded_image1_1719747122.jpg"
"1767042573-110","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poulet du pays","3 500CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_4807968_uploaded_image1_1719229010.jpg"
"1767042573-111","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poule Brahma","95 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4807398_uploaded_image1_1719187421.jpg"
"1767042573-112","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Jeune couple Mondain","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4800310_uploaded_image1_1718745887.jpg"
"1767042573-113","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Texan pionnier","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4800306_uploaded_image1_1718745517.jpg"
"1767042573-114","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poulet race","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4787594_uploaded_image1_1717954434.jpg"
"1767042573-115","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poulets","2 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4767951_uploaded_image1_1716976720.jpg"
"1767042573-116","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Couple lapereau fauve de bourgogne","40 000CFA","Lac rose, Sénégal","https://images.coinafrique.com/thumb_4751808_uploaded_image1_1716133783.jpg"
"1767042573-117","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poulets de chair","1 500CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4696598_uploaded_image1_1713352074.jpg"
"1767042573-118","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poulet","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_4738369_uploaded_image1_1715444473.jpg"
"1767042573-119","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeons voyageurs","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4729764_uploaded_image1_1715037972.jpg"
"1767042573-120","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poulet Nègre de soie","35 000CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4723223_uploaded_image1_1714727157.jpg"
"1767042573-121","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapin Angora","20 000CFA","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_4714367_uploaded_image1_1714245668.jpg"
"1767042573-122","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeons King mâle","35 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4704120_uploaded_image1_1713750109.jpg"
"1767042573-123","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapereaux","13 500CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4703012_uploaded_image1_1713680804.jpg"
"1767042573-124","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon Mâle voyageur","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4690859_uploaded_image1_1713063647.jpg"
"1767042573-125","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Couple Pigeons voyageur","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4690857_uploaded_image1_1713063525.jpg"
"1767042573-126","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Pigeon Mondain écailler","170 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4685152_uploaded_image1_1712756876.jpg"
"1767042573-127","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poulets de chair","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_4667518_uploaded_image1_1711842967.jpg"
"1767042573-128","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Femelle andalou","250 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4667144_uploaded_image1_1711815313.jpg"
